,microGridType,Iteration,PowerLossDev,FreqDev,DVmin,DVmax,DP,DQ,Imax,PowerLossMean,ObjFunc
0,mg1,0,4.120293458995589,0.0004309719454726185,0.00019198053759339457,0.00013501221235592123,0.10671892282621384,0.02403701212328395,0.31585869105301084,2.0271958497331775,0.6525237213847884
1,mg1,1,4.569364274018445,0.00010416301307885325,0.00017077720337464443,0.0035546932668522485,0.917414784487583,0.8284701745316028,1.0606267486392806,2.1346185298588245,1.0542436593086024
2,mg1,2,4.3818418859214106,0.00019691848139900874,0.00028820628061334343,0.0016076746932943006,0.625630546955984,0.4155530653394142,1.0112071744629867,2.090425138485999,0.9194750674478717
3,mg1,3,4.404442405303267,1.0145723470998665e-05,0.0006135085855953421,0.0034378441423935416,1.2771030110396537,0.32867263475789527,1.5095242728792502,2.0958272279343317,1.074829117490218
4,mg1,4,4.46906307494264,6.681276830338663e-05,0.00010446073342829641,0.0004783658074879955,0.8186673934272637,0.2793081568611951,1.5531258901390275,2.1111527637659426,1.0172591649541922
5,mg1,5,4.219050532516179,9.572517613703765e-05,0.0003113819233492132,7.868204669826093e-05,0.4085608161394566,0.21558945916020725,0.8819142294015115,2.0513044693400664,0.8179429751947912
6,mg1,6,4.365562029100833,4.565590451694949e-05,0.00011846425626563296,0.0003561321755276802,0.16655866116974666,0.5561526884975185,0.5857885394024426,2.0865739372912664,0.810654595786693
7,mg1,7,4.269019932866096,0.0007320148722944211,0.00029356566107462486,2.598652707957589e-05,0.14812803447843562,0.722131467251099,0.9491319283890938,2.063361138436084,0.869923275720739
8,mg1,8,4.088746470975509,5.938045691687679e-05,0.0004188297511491223,2.5291056101843845e-05,0.6413471167810164,0.1268652516403384,0.8164660267920194,2.0194325588548123,0.8105611953504359
9,mg1,9,4.252859274426443,0.0001279812055678505,0.0004354440825209494,1.6666581224509832e-05,0.3274485947928298,0.4949110595477628,0.7118004349671515,2.059210136908795,0.8267999222290715
10,mg1,10,4.224320367091058,0.000276027110618198,0.00012594675496348392,0.0004664983372687401,0.19825781565465658,0.03201045564536696,0.2708557014885155,2.052489566100195,0.6751875445832068
11,mg1,11,4.167006249227322,0.0004065116771064699,0.0002019954776329609,0.0002323429977397066,0.2042204830843034,0.06568213081371943,0.5671565595553211,2.038687668065157,0.7149866104047352
12,mg1,12,4.261708019796554,0.0005393266174862341,8.864319978296824e-05,0.0002673019872562296,0.1334239599997213,0.12674579273266876,0.3143496838634377,2.0616173380298752,0.6910175325995581
13,mg1,13,4.1468882580535595,0.0001325885398346753,0.0001755342532396161,7.724278063843816e-05,0.3210757124063721,0.010374511237464164,0.36287497905434324,2.0336145437738646,0.6916569751893501
14,mg1,14,4.169632035432336,0.0005032967833664204,0.00012077416924135556,0.00014588807062273994,0.1655692706316118,0.013098822889490627,0.26259131642749206,2.0392853788259817,0.6588087720577374
15,mg1,15,4.133177083128436,6.345234946817867e-05,0.0005141101353108812,4.3317586196361856e-05,0.1839414515459896,0.35595843690447593,0.5679994462930429,2.030367454864921,0.7488138997061313
16,mg1,16,4.2118705093600335,0.0007018156397680821,7.787979208079686e-05,0.0002732781374412992,0.1516364112702981,0.030850279721149728,0.31410164634499627,2.049498217042321,0.6727874028951096
17,mg1,17,4.763660849983975,6.938430608046372e-06,7.644830024330519e-05,0.0005140489871630418,0.8988390372601915,0.7440694941529683,1.536314537729919,2.1792330630446703,1.1347830506921526
18,mg1,18,4.255582742751699,0.00017409092694149224,0.00016619982121562497,0.000707616771773323,0.2852556802716307,0.08343084888663478,0.7414320815865435,2.0601675869083027,0.7666784658594912
19,mg1,19,4.20255722570408,0.00016175692041567986,7.35066157944865e-05,0.00023960531910809335,0.20737246693329153,0.11153836161173462,0.3042987954062412,2.047252791624197,0.6894631026443808
20,mg1,20,4.33261594057309,1.352578336071043e-05,0.0003936894842266556,0.002925655124169929,0.9869870800637471,0.16172382928605736,1.0997515236758886,2.07871352583331,0.9406301777129344
21,mg1,21,4.471832427768751,1.1495608056774319e-05,0.00030503887079717687,0.004005157256054166,1.1979531049652958,0.25774143876860944,1.355737005489499,2.111685489060154,1.041083666961009
22,mg1,22,4.15220365883914,0.00021194636901214839,0.00027275624466274577,0.0006561265442049819,0.2733485527887148,0.05459356763107427,0.34646104309106845,2.034979628316134,0.6896782359296967
23,mg1,23,4.261431972859627,1.2755674283110176e-05,0.0003909654717229111,0.00018412605554392867,0.8607828647849454,0.09911732024476391,1.568659486677551,2.0616243988405203,0.9700827845383481
24,mg1,24,4.260186918547534,8.883880334972585e-05,0.00011810515692176613,0.00017294115772696736,0.28582791688111026,0.15576435537706876,0.6327937899696764,2.0613067711851913,0.7621361236990554
25,mg1,25,4.09879014654786,0.0006060588430324422,0.00044005320329247013,7.532178758357788e-05,0.21299852795856059,0.481023189629643,1.0452013653898606,2.0218971513136093,0.8341620947656904
26,mg1,26,4.393548848227295,6.53291392207208e-06,7.927253387257436e-05,0.0007302270252524118,1.0755589240618928,0.19285169477839337,1.1798324616944798,2.093171360936866,0.9775154230335866
27,mg1,27,4.158462372408101,0.00032948758682121515,0.00028634509838469966,0.0006394774657158127,0.2727699061033144,0.037182076920979544,0.3299042780720869,2.03649793083123,0.6856534205222005
28,mg1,28,4.323490217912742,5.3974166971898185e-06,0.0006593458206904636,0.0002711443176077966,1.3689590600593255,0.17376880619569068,2.1426705908628727,2.0764625780309958,1.1442606517979466
29,mg1,29,4.145456942509548,0.00010530984451937326,0.0003447086288768863,0.00012543600541570517,0.24973199282249323,0.11079322618730907,0.44047824943093367,2.0332928289767986,0.7067194093470136
